rmse,mae,auroc,pred_auc,Model,Dataset,Miss_Rate,Seed,DB_Type
0.26099023502127267,0.1339554395461164,0.869384691952594,0.7325399402258082,KD,student,0.05,0,light
0.26705997287741434,0.1288007978060043,0.8729118387468214,0.7326781606846666,Student_Baseline,student,0.05,0,light
0.2654585021775799,0.13196135643126247,0.8673822255427025,0.7266904193442286,GAIN,student,0.1,0,light
0.26438168178735455,0.1377946200090191,0.8672240052704855,0.7253592864309799,WGAN_FWAL,student,0.1,0,light
0.26768071150247247,0.136931958437442,0.8555962376593473,0.7289666126927357,KD,student,0.1,0,light
0.2650467984980983,0.12848393259576357,0.8696294803945526,0.7300681991149778,Student_Baseline,student,0.1,0,light
0.2588524190593567,0.1274632099628655,0.8665668444240184,0.7186880962086583,GAIN,student,0.2,0,light
0.26702239841372605,0.13842720922253815,0.8642912519959212,0.7138430431492877,WGAN_FWAL,student,0.2,0,light
0.26265245190230124,0.13543926282121543,0.8555430012684593,0.7155744585746653,KD,student,0.2,0,light
0.2608119840710964,0.12665067269861,0.8667993401638965,0.7137340685479922,Student_Baseline,student,0.2,0,light
0.26503221345021283,0.127980735860553,0.8629317515137953,0.7093155464251539,GAIN,student,0.3,0,light
0.27018156633067475,0.14053169089159676,0.8648444553448048,0.6875928197308613,WGAN_FWAL,student,0.3,0,light
0.2652034260466931,0.1344777004702936,0.8669202294467484,0.7055434275284186,KD,student,0.3,0,light
0.26353897148115096,0.12824326555353127,0.8618715649283104,0.7168934051751186,Student_Baseline,student,0.3,0,light
0.26912578767558804,0.13746559419897367,0.8544904305945314,0.6834312066675687,GAIN,student,0.5,0,light
0.2737741567912506,0.14486385401735288,0.85473931368833,0.6741197612194665,WGAN_FWAL,student,0.5,0,light
0.2638130263192829,0.13685852488559047,0.8535898509669624,0.680919467037954,KD,student,0.5,0,light
0.268465554578158,0.13246809512895935,0.8535029019040605,0.7056625614595533,Student_Baseline,student,0.5,0,light
0.37226423363739375,0.1419067361420421,,0.6929660455823247,GAIN,breast_cancer,0.05,1,light
0.400940846116646,0.1640796618626868,,0.7104584369119253,WGAN_FWAL,breast_cancer,0.05,1,light
0.41453589976699845,0.17294883037711142,,0.7002308737773854,KD,breast_cancer,0.05,1,light
0.37890574520274223,0.14744996840368765,,0.6965270194921358,Student_Baseline,breast_cancer,0.05,1,light
0.400916237205736,0.16240250889893632,,0.729718827683944,GAIN,breast_cancer,0.1,1,light
